User_ID,가입일자,가입경로,기기,알림수신동의여부,알림수신동의_변경일자,signup_during_outage
U0000001,2025-01-25,오가닉,iOS,동의,,False
U0000002,2025-05-06,오가닉,iOS,미동의,2025-05-24,False
U0000003,2025-05-14,오가닉,iOS,미동의,,False
U0000004,2025-02-23,퍼포먼스광고,Android,동의,,False
U0000005,2025-02-18,퍼포먼스광고,Android,동의,,False
U0000006,2025-02-07,퍼포먼스광고,Android,동의,,False
U0000007,2025-03-26,퍼포먼스광고,iOS,미동의,2025-05-13,False
U0000008,2025-02-27,오가닉,iOS,미동의,,False
U0000009,2025-05-20,퍼포먼스광고,iOS,미동의,,False
U0000010,2025-04-21,오가닉,iOS,미동의,,False
U0000011,2025-02-24,오가닉,iOS,동의,,False
U0000012,2025-04-21,오가닉,iOS,동의,,False
U0000013,2025-01-08,오가닉,Android,동의,,False
U0000014,2025-04-15,오가닉,iOS,미동의,,False
U0000015,2025-01-01,오가닉,iOS,동의,,False
U0000016,2025-02-10,오가닉,Android,미동의,2025-05-26,False
U0000017,2025-03-18,퍼포먼스광고,iOS,미동의,,False
U0000018,2025-05-11,퍼포먼스광고,iOS,동의,,False
U0000019,2025-02-11,퍼포먼스광고,iOS,동의,,False
U0000020,2025-02-07,퍼포먼스광고,Android,동의,,False
U0000021,2025-03-28,오가닉,iOS,동의,,False
U0000022,2025-05-24,퍼포먼스광고,iOS,미동의,,False
U0000023,2025-02-25,퍼포먼스광고,iOS,동의,,False
U0000024,2025-01-23,오가닉,Android,동의,,False
U0000025,2025-05-11,오가닉,iOS,동의,,False
U0000026,2025-05-17,퍼포먼스광고,iOS,미동의,,False
U0000027,2025-02-09,퍼포먼스광고,iOS,동의,,False
U0000028,2025-03-01,퍼포먼스광고,iOS,동의,2025-05-19,False
U0000029,2025-01-28,오가닉,Android,미동의,,False
U0000030,2025-01-03,퍼포먼스광고,Android,동의,,False
U0000031,2025-02-13,퍼포먼스광고,Android,동의,,False
U0000032,2025-05-25,퍼포먼스광고,Android,동의,,False
U0000033,2025-02-28,퍼포먼스광고,iOS,미동의,2025-05-21,False
U0000034,2025-05-04,퍼포먼스광고,iOS,동의,,False
U0000035,2025-01-13,오가닉,iOS,동의,,False
U0000036,2025-02-10,퍼포먼스광고,iOS,동의,,False
U0000037,2025-02-25,오가닉,iOS,미동의,2025-04-07,False
U0000038,2025-04-14,퍼포먼스광고,iOS,동의,,False
