User_ID,가입일자,가입경로,기기,알림수신동의여부,signup_during_outage,total_events,active_days,last_active_date,routine_types_used,onboard_completed,days_to_onboard,active_days_7d,routine_count_7d,challenge_join_7d,challenge_explore_7d,notif_received,notif_opened,notif_open_rate,notif_ad_count,retained_d30,retained_d30_onboard,is_zero_event,consent_revoked,d30_window_hit_outage
U0000001,2025-01-25,오가닉,iOS,동의,False,512,80,2025-04-24,4,True,0.0,7,18,True,True,80,7,0.0875,28,True,True,False,False,False
U0000002,2025-05-06,오가닉,iOS,미동의,False,53,10,2025-05-16,4,False,,7,10,True,True,0,0,,0,False,,False,True,False
U0000003,2025-05-14,오가닉,iOS,미동의,False,3,1,2025-05-14,1,False,,1,1,False,False,0,0,,0,False,,False,False,False
U0000004,2025-02-23,퍼포먼스광고,Android,동의,False,89,20,2025-03-25,4,False,,7,14,False,False,20,1,0.05,4,True,,False,False,False
U0000005,2025-02-18,퍼포먼스광고,Android,동의,False,438,82,2025-05-18,4,True,0.0,7,11,True,True,81,4,0.04938271604938271,31,True,True,False,False,False
U0000006,2025-02-07,퍼포먼스광고,Android,동의,False,5,1,2025-02-07,2,False,,1,2,False,False,1,0,,0,False,,False,False,False
U0000007,2025-03-26,퍼포먼스광고,iOS,미동의,False,30,3,2025-03-28,4,False,,3,15,False,False,0,0,,0,False,,False,True,False
U0000008,2025-02-27,오가닉,iOS,미동의,False,525,82,2025-05-27,4,True,0.0,7,23,True,True,0,0,,0,True,True,False,False,False
U0000009,2025-05-20,퍼포먼스광고,iOS,미동의,False,6,1,2025-05-20,2,False,,1,2,False,False,0,0,,0,False,,False,False,False
U0000010,2025-04-21,오가닉,iOS,미동의,False,87,9,2025-04-29,4,False,,7,26,True,True,0,0,,0,False,,False,False,False
U0000011,2025-02-24,오가닉,iOS,동의,False,540,80,2025-05-24,4,False,,7,36,False,False,80,11,0.1375,33,True,,False,False,False
U0000012,2025-04-21,오가닉,iOS,동의,False,9,1,2025-04-21,2,True,0.0,1,4,False,False,1,0,,0,False,False,False,False,False
U0000013,2025-01-08,오가닉,Android,동의,False,38,7,2025-01-14,4,True,0.0,7,9,True,True,7,1,0.14285714285714285,1,False,False,False,False,False
U0000014,2025-04-15,오가닉,iOS,미동의,False,15,5,2025-04-19,4,False,,5,8,False,False,0,0,,0,False,,False,False,False
U0000015,2025-01-01,오가닉,iOS,동의,False,20,5,2025-01-05,2,False,,5,5,False,False,5,0,,2,False,,False,False,False
U0000016,2025-02-10,오가닉,Android,미동의,False,39,13,2025-02-26,4,False,,7,6,True,True,0,0,,0,False,,False,True,True
U0000017,2025-03-18,퍼포먼스광고,iOS,미동의,False,14,3,2025-03-20,2,False,,3,6,False,False,0,0,,0,False,,False,False,False
U0000018,2025-05-11,퍼포먼스광고,iOS,동의,False,10,1,2025-05-11,2,True,0.0,1,2,True,True,1,0,,1,False,False,False,False,False
U0000019,2025-02-11,퍼포먼스광고,iOS,동의,False,593,66,2025-04-24,4,True,0.0,7,47,True,True,66,9,0.13636363636363635,22,False,False,False,False,True
